ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;"Seleccione el Comité de Bienestar al cual pertenece (si no lo conoce, por favor consulte con el encargado de bienestar de su unidad):
";Componente / Jefatura:;Componente / Jefatura:2;Componente / Jefatura:3;Componente / Jefatura:4;Componente / Jefatura:5;Componente / Jefatura:6;Componente / Jefatura:7;Componente / Jefatura:8;Componente / Jefatura:9;Componente / Jefatura:10;Componente / Jefatura:11;Componente / Jefatura:12;Componente / Jefatura:13;Componente / Jefatura:14;Componente / Jefatura:15;Componente / Jefatura:16;Seleccione la categoría a la cual pertenece:;Seleccione la categoría a la cual pertenece:2;Grado:;Grado:2;Tiempo en la institución:;Estado civil:;"¿CONOCE EL PROGRAMA DE INCENTIVOS?
Enfocado en reconocer el compromiso y desempeño del personal en el logro de resultados. Ejemplo de actividades relacionadas con el programa: Medallas, condecorac...";Dentro del Programa de Incentivos ¿La entrega de incentivos o reconocimientos que ha recibido usted está acorde a su nivel de compromiso y las labores que desempeña?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).;Dentro del Programa de Incentivos ¿Ha evidenciado o ha sido participe de la entrega de incentivos o reconocimientos por la labor y compromiso a otros tripulantes de la institución?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).2;"¿CONOCE EL PROGRAMA DE RECREACIÓN Y CULTURA?
Orientado a propender por el aprovechamiento del tiempo libre mediante el desarrollo de actividades recreativas y culturales. Ejemplo de actividades re...";¿Valora usted como positivas las actividades del programa de recreación y cultura que se hacen en su unidad?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).3;¿Los tripulantes de su unidad valoran como positivas las actividades del programa de recreación y cultura que se hacen?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).4;"¿CONOCE EL PROGRAMA DE DEPORTES Y CULTURA FÍSICA?
Encaminado a estimular el espíritu deportivo y la práctica de actividades que fortalezcan la cultura física y promuevan hábitos de vida saludable....";¿Las actividades del programa de deporte y cultura física que implementan en su unidad incentivan a la práctica de disciplinas deportivas y a mantener la cultura del entrenamiento físico?;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).5;"¿CONOCE EL PROGRAMA DE SERVICIOS EDUCATIVOS (COLEGIOS NAVALES)?
Encaminado a prestar el servicio educativo a los hijos de los tripulantes de la institución a través de los Colegios Navales.";¿Está conforme con el servicio educativo ofrecido por los Colegios Navales? (Si no es o no ha sido usuario por favor seleccione la respuesta de acuerdo a su percepción);Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).6;"¿CONOCE EL PROGRAMA DE ORIENTACIÓN SOCIOFAMILIAR?
  Direccionamiento de estrategias y recursos institucionales para la realización de talleres de proyecto de vida, prevención de violencias, crisis...";¿Los servicios del programa de orientación y/o educación sociofamiliar ofrecidos por las Oficinas de Atención a la Familia son satisfactorios? (Si no es o no ha sido usuario por favor seleccione l...;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).7;"¿CONOCE EL PROGRAMA DE SERVICIOS FUNERARIOS?
Facilitar la coordinación de los servicios funerarios y de inhumación del personal en servicio activo, de la reserva y pensionados de la Armada Naciona...";¿El acompañamiento y orientación por parte de la Armada Nacional para la gestión de los servicios funerarios son oportunos? (Si no es o no ha sido usuario por favor seleccione la respuesta de acue...;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).8;"¿CONOCE EL PROGRAMA DE VIVIENDAS Y ALOJAMIENTOS MILITARES?
Elevar la calidad de vida de los tripulantes en servicio activo de la Armada Nacional y su familia, mediante la asignación de alojamiento...";¿Está conforme con el servicio de viviendas y alojamientos militares para los tripulantes y sus familias? (Si no es o no ha sido usuario por favor seleccione la respuesta de acuerdo a su percepción);Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).9;"¿CONOCE EL PROGRAMA DE PREPARACIÓN PARA EL RETIRO?
  “Héroes vuelven a casa” (IMP) y Seminario fortalecimiento familiar (OF y S/O), busca facilitar la adaptación del personal militar de la Armada ...";¿El Programa de desvinculación asistida y preparación para el retiro facilita la adaptación del funcionario al nuevo entorno social, familiar y laboral? (Si no es o no ha sido usuario por favor se...;Si su respuesta se encuentra dentro del rango de 1 a 3, justifíquela (opcional).10;¿Se ha enterado oportunamente de la realización de las actividades de bienestar programadas por su unidad?;¿En el desarrollo de las actividades de bienestar se evidencia el compromiso del personal encargado en su unidad?;¿Se le brinda el tiempo y las facilidades para asistir a las actividades de bienestar en su unidad?;Seleccione ¿Cuál de los siguientes motivos le ha dificultado recibir o participar de los beneficios o actividades de bienestar? ;Le solicitamos nos brinde sugerencias o aportes que nos sirvan para mejorar las actividades enmarcadas dentro de los programas de bienestar en su unidad.
23394;9/09/2024 11:31;9/09/2024 11:35;anonymous;;Comité N° 12. ENSUB;;;;;;;;;;;;ENSUB;;;;;;Civil ARC;;;21 años o más;Casado (a);SI;3;Criterios de postulación.;4;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;2;Personal no idóneo  ;SI;4;;NO;3;Proceso muy corto  ;1;4;3;Desconocimiento de la realización de las actividades;
23395;9/09/2024 11:30;9/09/2024 11:36;anonymous;;Comité N° 12. ENSUB;;;;;;;;;;;;ENSUB;;;;;;Civil ARC;;;0 a 5 años;Unión libre;SI;2;Poco tiempo en la institución;2;Los encargados no postulan;SI;4;;4;;SI;4;;SI;4;;SI;5;;SI;5;;SI;5;;SI;5;;4;4;5;No he tenido dificultades;
23396;9/09/2024 11:24;9/09/2024 11:36;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Infante de Marina Profesional;;;16 a 20 años;Separado / Divorciado (a);SI;5;N/A;5;N/A;SI;5;;5;;SI;5;;SI;5;;SI;4; No los conoce;SI;5;N/A;SI;5;N/A;SI;5; Poca variedad cursos;5;5;5;No he tenido dificultades;
23397;9/09/2024 11:32;9/09/2024 11:36;anonymous;;Comité N° 12. ENSUB;;;;;;;;;;;;ENSUB;;;;;;Civil ARC;;;0 a 5 años;Casado (a);NO;1;Comandante no postula;1;Los encargados no postulan;NO;1;Son pocas ;2; Poco presupuesto en la unidad para estas actividades;NO;1;La unidad  no las  realiza  ;NO;1;No las.conozco ;NO;1; No los conoce;NO;1; Desinformación;NO;1;Solo se que me descuentan ;NO;1;Las desconozco ;1;1;1;Desconocimiento de la realización de las actividades;Mayor información 
23398;9/09/2024 11:35;9/09/2024 11:38;anonymous;;Comité N° 12. ENSUB;;;;;;;;;;;;ENSUB;;;;;;Suboficial;;;0 a 5 años;Casado (a);SI;4;;4;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;4;;4;4;4;No he tenido dificultades;
23399;9/09/2024 11:30;9/09/2024 11:38;anonymous;;Comité N° 12. ENSUB;;;;;;;;;;;;ENSUB;;;;;;Civil ARC;;;16 a 20 años;Casado (a);SI;3;Comandante no postula;2;En la unidad no se divulga;NO;1;La unidad  no las  realiza  ;2;No asisten por exceso de carga laboral;NO;1;La unidad  no las  realiza  ;NO;1; Planta física;NO;2; No los conoce;SI;2; Desinformación;NO;3;Mala infraestructura;NO;2; Poca variedad cursos;2;2;3;Desconocimiento de la realización de las actividades;debería aver más compromiso con los civiles 
23400;9/09/2024 11:31;9/09/2024 11:39;anonymous;;Comité N° 12. ENSUB;;;;;;;;;;;;ENSUB;;;;;;Civil ARC;;;0 a 5 años;Casado (a);SI;4;;4;;SI;4;;4;;SI;4;;NO;3;No conozco los programas ;SI;4;;NO;3;No los conozco;SI;4;;SI;5;;5;5;5;No he tenido dificultades;Tener en cuenta el tiempo de servicio del personal civil para ser postulados a los diferentes  distintivos
23401;9/09/2024 11:27;9/09/2024 11:39;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Infante de Marina Profesional;;;16 a 20 años;Unión libre;SI;3;Comandante no postula;3;En la unidad no se divulga;SI;4;No asisto por exceso de carga laboral;4;No asisten por exceso de carga laboral;SI;5;Excelente actividades;NO;3; Planta física;NO;3; No los conoce;NO;3; Desinformación;SI;3;Poca disponibilidad  ;NO;3; Poca variedad cursos;4;4;4;Necesidades operacionales o actos del servicio;Insentivar un ciclo con dias de descanso para el personal que tiene los familiares en otras regiones del pais, para poder compatir en familia, fortalecer el hogar, ayudar en el desarrollo complentementario del crecimiento de los hijos
23402;9/09/2024 11:30;9/09/2024 11:39;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Infante de Marina Profesional;;;16 a 20 años;Unión libre;NO;1;Comandante no postula;2;Los encargados no postulan;NO;2;No asisto por exceso de carga laboral;2;No asisten por exceso de carga laboral;NO;2;No se divulgan;NO;1;;NO;1; No los conoce;NO;1; Desinformación;NO;1;Poca disponibilidad  ;SI;4;;4;4;4;Se dio prioridad a otros grados o categorías;Hay que ser personas natural 
23403;9/09/2024 11:30;9/09/2024 11:40;anonymous;;Comité N° 12. ENSUB;;;;;;;;;;;;ENSUB;;;;;;Civil ARC;;;0 a 5 años;Unión libre;NO;3;Poco tiempo en la institución;5;;SI;5;;2; Poco presupuesto en la unidad para estas actividades;NO;1;La unidad  no las  realiza  ;SI;5;;SI;5;;NO;2; Desinformación;SI;1;No hago uso de vivienda militar ;NO;1;No soy militar ;4;5;5;Desinterés personal en participar;Que se haga integraciones con el fin de tener un rato de esparcimiento y compartir con los compañeros fuera de nuestro lugar de trabajo
23404;9/09/2024 11:36;9/09/2024 11:41;anonymous;;Comité N° 1. COARC;COARC / AYGAR;;;;;;;;;;;;;;;;Suboficial;;;;11 a 15 años;Casado (a);SI;4;Ninguna;4;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;5;;SI;4;;NO;2; Poca variedad cursos;4;4;3;Exceso de carga laboral ;
23405;9/09/2024 11:37;9/09/2024 11:42;anonymous;;Comité N° 12. ENSUB;;;;;;;;;;;;ENSUB;;;;;;Civil ARC;;;21 años o más;Casado (a);SI;2;Comandante no postula;3;Los encargados no postulan;SI;5;;5;;SI;5;;SI;1;Lo cerraron;SI;5;;SI;5;;SI;5;;SI;5;;5;5;5;No he tenido dificultades;No tengo sugerencias 
23406;9/09/2024 11:28;9/09/2024 11:42;anonymous;;Comité N° 14. ENAP;;;;;;;;;;;;;;ENAP;;;;Infante de Marina Profesional;;;16 a 20 años;Casado (a);SI;3;;3;;NO;3;;3;;SI;4;;NO;3;No usuario;NO;3;No usuario ;NO;3;No usuario ;SI;4;;SI;4;;3;3;3;Tiempo;Ninguna 
23407;9/09/2024 11:36;9/09/2024 11:43;anonymous;;Comité N° 12. ENSUB;;;;;;;;;;;;ENSUB;;;;;;Suboficial;;;16 a 20 años;Casado (a);SI;4;;4;;SI;4;;4;;SI;4;;SI;4;;SI;4;;SI;4;;SI;3;Mala infraestructura;SI;4;;4;4;4;No he tenido dificultades;Hace falta incentivos para el personal que propendan a ser más eficientes en las actividades.
23408;9/09/2024 11:36;9/09/2024 11:43;anonymous;;Comité N° 12. ENSUB;;;;;;;;;;;;ENSUB;;;;;;Civil ARC;;;21 años o más;Casado (a);SI;4;;4;En la unidad no se divulga;SI;4;;4;;SI;3;No se divulgan;NO;4;No conozco ;NO;4;No cumple expectativas  ;NO;3; Desinformación;NO;3;No;NO;3;No;3;3;3;Desconocimiento de la realización de las actividades;
